block_num,builder_id,proposer_id,winning_bid,total_gas_fee,total_mev
0,builder_15,proposer_10,15324155.489590907,31032000,17865780
1,builder_19,proposer_6,17030039.484137043,124760000,18359320
2,builder_19,proposer_9,18751174.23099985,272660000,89866940
3,builder_19,proposer_4,20701600.70770316,348780000,20536700
4,builder_19,proposer_18,23064763.388101596,442340000,19779080
5,builder_19,proposer_10,25645317.516367506,596600000,25677000
6,builder_19,proposer_10,28443144.952232454,781700000,76876400
7,builder_19,proposer_2,31411506.634728953,902800000,23558900
8,builder_19,proposer_10,34288982.644424364,809700000,24038200
9,builder_19,proposer_14,38080409.386517435,870500000,27893100
10,builder_19,proposer_16,42341173.48302262,1027000000,20278100
11,builder_19,proposer_19,46439091.16924141,1057100000,5328600
12,builder_19,proposer_5,51153198.068684675,1124600000,6654600
13,builder_15,proposer_2,55838997.08808563,1496900000,1801700
14,builder_19,proposer_15,60954376.92465714,1438900000,5617900
15,builder_15,proposer_0,66384797.95577847,1625200000,2081800
16,builder_19,proposer_2,74138282.77019809,1603500000,1283300
17,builder_19,proposer_7,83181884.95605218,1388200000,7215400
18,builder_19,proposer_13,92766719.67644802,2321500000,1489200
19,builder_19,proposer_8,101949264.57063119,1905700000,2347000
20,builder_19,proposer_16,110728981.64875014,1679700000,2235500
21,builder_19,proposer_2,121258348.35809967,1728900000,2346500
22,builder_19,proposer_11,131074405.38733016,2253100000,2768400
23,builder_19,proposer_15,144337431.26133692,2177400000,1732000
24,builder_19,proposer_11,157458520.80175608,2243800000,1322600
25,builder_19,proposer_19,175354375.46064276,2315500000,1431000
26,builder_19,proposer_7,192617361.10315993,2303100000,1479000
27,builder_19,proposer_15,208256839.45778337,2302000000,1175400
28,builder_19,proposer_0,228445042.06765968,2799000000,2452100
29,builder_19,proposer_5,248669416.49129608,2465800000,2086000
30,builder_19,proposer_8,268335924.7377669,2873000000,1490800
31,builder_19,proposer_5,291068805.8307148,2673800000,2107100
32,builder_19,proposer_16,321845386.0516661,2921100000,2066900
33,builder_19,proposer_14,356300486.1975129,3125000000,1250300
34,builder_19,proposer_4,389560805.2883404,2843800000,1422600
35,builder_19,proposer_13,423150138.0433147,2839900000,2920800
36,builder_15,proposer_10,15324155.489590907,31032000,17865780
37,builder_19,proposer_6,17030039.484137043,124760000,18359320
38,builder_19,proposer_9,18751174.23099985,272660000,89866940
39,builder_19,proposer_4,20701600.70770316,348780000,20536700
40,builder_19,proposer_18,23064763.388101596,442340000,19779080
41,builder_19,proposer_10,25645317.516367506,596600000,25677000
42,builder_19,proposer_10,28443144.952232454,781700000,76876400
43,builder_19,proposer_2,31411506.634728953,902800000,23558900
44,builder_19,proposer_10,34288982.644424364,809700000,24038200
45,builder_19,proposer_14,38080409.386517435,870500000,27893100
46,builder_19,proposer_16,42341173.48302262,1027000000,20278100
47,builder_19,proposer_19,46439091.16924141,1057100000,5328600
48,builder_19,proposer_5,51153198.068684675,1124600000,6654600
49,builder_15,proposer_2,55838997.08808563,1496900000,1801700
50,builder_19,proposer_15,60954376.92465714,1438900000,5617900
51,builder_15,proposer_0,66384797.95577847,1625200000,2081800
52,builder_19,proposer_2,74138282.77019809,1603500000,1283300
53,builder_19,proposer_7,83181884.95605218,1388200000,7215400
54,builder_19,proposer_13,92766719.67644802,2321500000,1489200
55,builder_19,proposer_8,101949264.57063119,1905700000,2347000
56,builder_19,proposer_16,110728981.64875014,1679700000,2235500
57,builder_19,proposer_2,121258348.35809967,1728900000,2346500
58,builder_19,proposer_11,131074405.38733016,2253100000,2768400
59,builder_19,proposer_15,144337431.26133692,2177400000,1732000
60,builder_19,proposer_11,157458520.80175608,2243800000,1322600
61,builder_19,proposer_19,175354375.46064276,2315500000,1431000
62,builder_19,proposer_7,192617361.10315993,2303100000,1479000
63,builder_19,proposer_15,208256839.45778337,2302000000,1175400
64,builder_19,proposer_0,228445042.06765968,2799000000,2452100
65,builder_19,proposer_5,248669416.49129608,2465800000,2086000
66,builder_19,proposer_8,268335924.7377669,2873000000,1490800
67,builder_19,proposer_5,291068805.8307148,2673800000,2107100
68,builder_19,proposer_16,321845386.0516661,2921100000,2066900
69,builder_19,proposer_14,356300486.1975129,3125000000,1250300
70,builder_19,proposer_4,389560805.2883404,2843800000,1422600
71,builder_19,proposer_13,423150138.0433147,2839900000,2920800
72,builder_15,proposer_10,15324155.489590907,31032000,17865780
73,builder_19,proposer_6,17030039.484137043,124760000,18359320
74,builder_19,proposer_9,18751174.23099985,272660000,89866940
75,builder_19,proposer_4,20701600.70770316,348780000,20536700
76,builder_19,proposer_18,23064763.388101596,442340000,19779080
77,builder_19,proposer_10,25645317.516367506,596600000,25677000
78,builder_19,proposer_10,28443144.952232454,781700000,76876400
79,builder_19,proposer_2,31411506.634728953,902800000,23558900
80,builder_19,proposer_10,34288982.644424364,809700000,24038200
81,builder_19,proposer_14,38080409.386517435,870500000,27893100
82,builder_19,proposer_16,42341173.48302262,1027000000,20278100
83,builder_19,proposer_19,46439091.16924141,1057100000,5328600
84,builder_19,proposer_5,51153198.068684675,1124600000,6654600
85,builder_15,proposer_2,55838997.08808563,1496900000,1801700
86,builder_19,proposer_15,60954376.92465714,1438900000,5617900
87,builder_15,proposer_0,66384797.95577847,1625200000,2081800
88,builder_19,proposer_2,74138282.77019809,1603500000,1283300
89,builder_19,proposer_7,83181884.95605218,1388200000,7215400
90,builder_19,proposer_13,92766719.67644802,2321500000,1489200
91,builder_19,proposer_8,101949264.57063119,1905700000,2347000
92,builder_19,proposer_16,110728981.64875014,1679700000,2235500
93,builder_19,proposer_2,121258348.35809967,1728900000,2346500
94,builder_19,proposer_11,131074405.38733016,2253100000,2768400
95,builder_19,proposer_15,144337431.26133692,2177400000,1732000
96,builder_19,proposer_11,157458520.80175608,2243800000,1322600
97,builder_19,proposer_19,175354375.46064276,2315500000,1431000
98,builder_19,proposer_7,192617361.10315993,2303100000,1479000
99,builder_19,proposer_15,208256839.45778337,2302000000,1175400
100,builder_19,proposer_0,228445042.06765968,2799000000,2452100
101,builder_19,proposer_5,248669416.49129608,2465800000,2086000
102,builder_19,proposer_8,268335924.7377669,2873000000,1490800
103,builder_19,proposer_5,291068805.8307148,2673800000,2107100
104,builder_19,proposer_16,321845386.0516661,2921100000,2066900
105,builder_19,proposer_14,356300486.1975129,3125000000,1250300
106,builder_19,proposer_4,389560805.2883404,2843800000,1422600
107,builder_19,proposer_13,423150138.0433147,2839900000,2920800
108,builder_15,proposer_10,15324155.489590907,31032000,17865780
109,builder_19,proposer_6,17030039.484137043,124760000,18359320
110,builder_19,proposer_9,18751174.23099985,272660000,89866940
111,builder_19,proposer_4,20701600.70770316,348780000,20536700
112,builder_19,proposer_18,23064763.388101596,442340000,19779080
113,builder_19,proposer_10,25645317.516367506,596600000,25677000
114,builder_19,proposer_10,28443144.952232454,781700000,76876400
115,builder_19,proposer_2,31411506.634728953,902800000,23558900
116,builder_19,proposer_10,34288982.644424364,809700000,24038200
117,builder_19,proposer_14,38080409.386517435,870500000,27893100
118,builder_19,proposer_16,42341173.48302262,1027000000,20278100
119,builder_19,proposer_19,46439091.16924141,1057100000,5328600
120,builder_19,proposer_5,51153198.068684675,1124600000,6654600
121,builder_15,proposer_2,55838997.08808563,1496900000,1801700
122,builder_19,proposer_15,60954376.92465714,1438900000,5617900
123,builder_15,proposer_0,66384797.95577847,1625200000,2081800
124,builder_19,proposer_2,74138282.77019809,1603500000,1283300
125,builder_19,proposer_7,83181884.95605218,1388200000,7215400
126,builder_19,proposer_13,92766719.67644802,2321500000,1489200
127,builder_19,proposer_8,101949264.57063119,1905700000,2347000
128,builder_19,proposer_16,110728981.64875014,1679700000,2235500
129,builder_19,proposer_2,121258348.35809967,1728900000,2346500
130,builder_19,proposer_11,131074405.38733016,2253100000,2768400
131,builder_19,proposer_15,144337431.26133692,2177400000,1732000
132,builder_19,proposer_11,157458520.80175608,2243800000,1322600
133,builder_19,proposer_19,175354375.46064276,2315500000,1431000
134,builder_19,proposer_7,192617361.10315993,2303100000,1479000
135,builder_19,proposer_15,208256839.45778337,2302000000,1175400
136,builder_19,proposer_0,228445042.06765968,2799000000,2452100
137,builder_19,proposer_5,248669416.49129608,2465800000,2086000
138,builder_19,proposer_8,268335924.7377669,2873000000,1490800
139,builder_19,proposer_5,291068805.8307148,2673800000,2107100
140,builder_19,proposer_16,321845386.0516661,2921100000,2066900
141,builder_19,proposer_14,356300486.1975129,3125000000,1250300
142,builder_19,proposer_4,389560805.2883404,2843800000,1422600
143,builder_19,proposer_13,423150138.0433147,2839900000,2920800
144,builder_15,proposer_10,15324155.489590907,31032000,17865780
145,builder_19,proposer_6,17030039.484137043,124760000,18359320
146,builder_19,proposer_9,18751174.23099985,272660000,89866940
147,builder_19,proposer_4,20701600.70770316,348780000,20536700
148,builder_19,proposer_18,23064763.388101596,442340000,19779080
149,builder_19,proposer_10,25645317.516367506,596600000,25677000
150,builder_19,proposer_10,28443144.952232454,781700000,76876400
151,builder_19,proposer_2,31411506.634728953,902800000,23558900
152,builder_19,proposer_10,34288982.644424364,809700000,24038200
153,builder_19,proposer_14,38080409.386517435,870500000,27893100
154,builder_19,proposer_16,42341173.48302262,1027000000,20278100
155,builder_19,proposer_19,46439091.16924141,1057100000,5328600
156,builder_19,proposer_5,51153198.068684675,1124600000,6654600
157,builder_15,proposer_2,55838997.08808563,1496900000,1801700
158,builder_19,proposer_15,60954376.92465714,1438900000,5617900
159,builder_15,proposer_0,66384797.95577847,1625200000,2081800
160,builder_19,proposer_2,74138282.77019809,1603500000,1283300
161,builder_19,proposer_7,83181884.95605218,1388200000,7215400
162,builder_19,proposer_13,92766719.67644802,2321500000,1489200
163,builder_19,proposer_8,101949264.57063119,1905700000,2347000
164,builder_19,proposer_16,110728981.64875014,1679700000,2235500
165,builder_19,proposer_2,121258348.35809967,1728900000,2346500
166,builder_19,proposer_11,131074405.38733016,2253100000,2768400
167,builder_19,proposer_15,144337431.26133692,2177400000,1732000
168,builder_19,proposer_11,157458520.80175608,2243800000,1322600
169,builder_19,proposer_19,175354375.46064276,2315500000,1431000
170,builder_19,proposer_7,192617361.10315993,2303100000,1479000
171,builder_19,proposer_15,208256839.45778337,2302000000,1175400
172,builder_19,proposer_0,228445042.06765968,2799000000,2452100
173,builder_19,proposer_5,248669416.49129608,2465800000,2086000
174,builder_19,proposer_8,268335924.7377669,2873000000,1490800
175,builder_19,proposer_5,291068805.8307148,2673800000,2107100
176,builder_19,proposer_16,321845386.0516661,2921100000,2066900
177,builder_19,proposer_14,356300486.1975129,3125000000,1250300
178,builder_19,proposer_4,389560805.2883404,2843800000,1422600
179,builder_19,proposer_13,423150138.0433147,2839900000,2920800
180,builder_15,proposer_10,15324155.489590907,31032000,17865780
181,builder_19,proposer_6,17030039.484137043,124760000,18359320
182,builder_19,proposer_9,18751174.23099985,272660000,89866940
183,builder_19,proposer_4,20701600.70770316,348780000,20536700
184,builder_19,proposer_18,23064763.388101596,442340000,19779080
185,builder_19,proposer_10,25645317.516367506,596600000,25677000
186,builder_19,proposer_10,28443144.952232454,781700000,76876400
187,builder_19,proposer_2,31411506.634728953,902800000,23558900
188,builder_19,proposer_10,34288982.644424364,809700000,24038200
189,builder_19,proposer_14,38080409.386517435,870500000,27893100
190,builder_19,proposer_16,42341173.48302262,1027000000,20278100
191,builder_19,proposer_19,46439091.16924141,1057100000,5328600
192,builder_19,proposer_5,51153198.068684675,1124600000,6654600
193,builder_15,proposer_2,55838997.08808563,1496900000,1801700
194,builder_19,proposer_15,60954376.92465714,1438900000,5617900
195,builder_15,proposer_0,66384797.95577847,1625200000,2081800
196,builder_19,proposer_2,74138282.77019809,1603500000,1283300
197,builder_19,proposer_7,83181884.95605218,1388200000,7215400
198,builder_19,proposer_13,92766719.67644802,2321500000,1489200
199,builder_19,proposer_8,101949264.57063119,1905700000,2347000
200,builder_19,proposer_16,110728981.64875014,1679700000,2235500
201,builder_19,proposer_2,121258348.35809967,1728900000,2346500
202,builder_19,proposer_11,131074405.38733016,2253100000,2768400
203,builder_19,proposer_15,144337431.26133692,2177400000,1732000
204,builder_19,proposer_11,157458520.80175608,2243800000,1322600
205,builder_19,proposer_19,175354375.46064276,2315500000,1431000
206,builder_19,proposer_7,192617361.10315993,2303100000,1479000
207,builder_19,proposer_15,208256839.45778337,2302000000,1175400
208,builder_19,proposer_0,228445042.06765968,2799000000,2452100
209,builder_19,proposer_5,248669416.49129608,2465800000,2086000
210,builder_19,proposer_8,268335924.7377669,2873000000,1490800
211,builder_19,proposer_5,291068805.8307148,2673800000,2107100
212,builder_19,proposer_16,321845386.0516661,2921100000,2066900
213,builder_19,proposer_14,356300486.1975129,3125000000,1250300
214,builder_19,proposer_4,389560805.2883404,2843800000,1422600
215,builder_19,proposer_13,423150138.0433147,2839900000,2920800
216,builder_15,proposer_10,15324155.489590907,31032000,17865780
217,builder_19,proposer_6,17030039.484137043,124760000,18359320
218,builder_19,proposer_9,18751174.23099985,272660000,89866940
219,builder_19,proposer_4,20701600.70770316,348780000,20536700
220,builder_19,proposer_18,23064763.388101596,442340000,19779080
221,builder_19,proposer_10,25645317.516367506,596600000,25677000
222,builder_19,proposer_10,28443144.952232454,781700000,76876400
223,builder_19,proposer_2,31411506.634728953,902800000,23558900
224,builder_19,proposer_10,34288982.644424364,809700000,24038200
225,builder_19,proposer_14,38080409.386517435,870500000,27893100
226,builder_19,proposer_16,42341173.48302262,1027000000,20278100
227,builder_19,proposer_19,46439091.16924141,1057100000,5328600
228,builder_19,proposer_5,51153198.068684675,1124600000,6654600
229,builder_15,proposer_2,55838997.08808563,1496900000,1801700
230,builder_19,proposer_15,60954376.92465714,1438900000,5617900
231,builder_15,proposer_0,66384797.95577847,1625200000,2081800
232,builder_19,proposer_2,74138282.77019809,1603500000,1283300
233,builder_19,proposer_7,83181884.95605218,1388200000,7215400
234,builder_19,proposer_13,92766719.67644802,2321500000,1489200
235,builder_19,proposer_8,101949264.57063119,1905700000,2347000
236,builder_19,proposer_16,110728981.64875014,1679700000,2235500
237,builder_19,proposer_2,121258348.35809967,1728900000,2346500
238,builder_19,proposer_11,131074405.38733016,2253100000,2768400
239,builder_19,proposer_15,144337431.26133692,2177400000,1732000
240,builder_19,proposer_11,157458520.80175608,2243800000,1322600
241,builder_19,proposer_19,175354375.46064276,2315500000,1431000
242,builder_19,proposer_7,192617361.10315993,2303100000,1479000
243,builder_19,proposer_15,208256839.45778337,2302000000,1175400
244,builder_19,proposer_0,228445042.06765968,2799000000,2452100
245,builder_19,proposer_5,248669416.49129608,2465800000,2086000
246,builder_19,proposer_8,268335924.7377669,2873000000,1490800
247,builder_19,proposer_5,291068805.8307148,2673800000,2107100
248,builder_19,proposer_16,321845386.0516661,2921100000,2066900
249,builder_19,proposer_14,356300486.1975129,3125000000,1250300
250,builder_19,proposer_4,389560805.2883404,2843800000,1422600
251,builder_19,proposer_13,423150138.0433147,2839900000,2920800
252,builder_19,proposer_1,58753434.601287246,118284000,1570240
253,builder_19,proposer_14,65358147.88077836,232252000,20123300
254,builder_19,proposer_4,71388907.74767214,307972000,14536240
255,builder_19,proposer_9,78690932.67248781,371450000,21090550
256,builder_19,proposer_4,87550790.33103496,702300000,6712330
257,builder_19,proposer_9,97896297.65432028,782800000,10686630
258,builder_19,proposer_16,106131306.69501029,802600000,6142090
259,builder_19,proposer_3,116184161.2112795,1074900000,6550690
260,builder_19,proposer_7,129705752.69586655,1088500000,6379390
261,builder_19,proposer_5,144167146.0368338,1269400000,6919280
262,builder_19,proposer_18,155954784.97854847,1269000000,2604690
263,builder_19,proposer_11,170624199.30084664,1335300000,1777000
264,builder_19,proposer_8,186598924.6370063,1239100000,4153600
265,builder_19,proposer_10,202903229.31072265,1394800000,3116000
266,builder_19,proposer_9,219307936.04570785,1751300000,1587200
267,builder_19,proposer_1,244105781.4590631,1627600000,1203200
268,builder_19,proposer_16,264342804.6176129,1717000000,1818040
269,builder_19,proposer_12,294316579.6454635,1775500000,1455000
270,builder_19,proposer_14,317489064.6669899,1800000000,1129700
271,builder_19,proposer_4,352393755.0270928,1997600000,369300
272,builder_19,proposer_17,388842628.5290936,2189000000,1164000
273,builder_19,proposer_14,422749966.4136644,1926700000,1262800
274,builder_19,proposer_6,455736639.62645984,2359700000,965300
275,builder_19,proposer_4,493373037.74597543,2302800000,795000
276,builder_19,proposer_6,550976711.0962557,2145200000,779300
277,builder_19,proposer_9,615100828.2101929,2018000000,1019700
278,builder_19,proposer_13,666251280.5702137,2562700000,1164700
279,builder_19,proposer_4,730936658.0843648,2456700000,1206100
280,builder_19,proposer_15,801403349.2197325,2604900000,2565900
281,builder_19,proposer_8,867345611.6397015,2717400000,2544000
282,builder_19,proposer_4,963670399.2856886,2895800000,1195100
283,builder_19,proposer_18,1066482863.1346312,2526800000,2377400
284,builder_19,proposer_18,1156364851.2277207,2513500000,2242100
285,builder_19,proposer_5,1295178162.7885041,2671100000,4112700
286,builder_19,proposer_14,1451379631.8593519,2871700000,1055700
287,builder_19,proposer_6,1565758218.1232889,2582300000,2144600
288,builder_19,proposer_1,58753434.601287246,118284000,1570240
289,builder_19,proposer_14,65358147.88077836,232252000,20123300
290,builder_19,proposer_4,71388907.74767214,307972000,14536240
291,builder_19,proposer_9,78690932.67248781,371450000,21090550
292,builder_19,proposer_4,87550790.33103496,702300000,6712330
293,builder_19,proposer_9,97896297.65432028,782800000,10686630
294,builder_19,proposer_16,106131306.69501029,802600000,6142090
295,builder_19,proposer_3,116184161.2112795,1074900000,6550690
296,builder_19,proposer_7,129705752.69586655,1088500000,6379390
297,builder_19,proposer_5,144167146.0368338,1269400000,6919280
298,builder_19,proposer_18,155954784.97854847,1269000000,2604690
299,builder_19,proposer_11,170624199.30084664,1335300000,1777000
300,builder_19,proposer_8,186598924.6370063,1239100000,4153600
301,builder_19,proposer_10,202903229.31072265,1394800000,3116000
302,builder_19,proposer_9,219307936.04570785,1751300000,1587200
303,builder_19,proposer_1,244105781.4590631,1627600000,1203200
304,builder_19,proposer_16,264342804.6176129,1717000000,1818040
305,builder_19,proposer_12,294316579.6454635,1775500000,1455000
306,builder_19,proposer_14,317489064.6669899,1800000000,1129700
307,builder_19,proposer_4,352393755.0270928,1997600000,369300
308,builder_19,proposer_17,388842628.5290936,2189000000,1164000
309,builder_19,proposer_14,422749966.4136644,1926700000,1262800
310,builder_19,proposer_6,455736639.62645984,2359700000,965300
311,builder_19,proposer_4,493373037.74597543,2302800000,795000
312,builder_19,proposer_6,550976711.0962557,2145200000,779300
313,builder_19,proposer_9,615100828.2101929,2018000000,1019700
314,builder_19,proposer_13,666251280.5702137,2562700000,1164700
315,builder_19,proposer_4,730936658.0843648,2456700000,1206100
316,builder_19,proposer_15,801403349.2197325,2604900000,2565900
317,builder_19,proposer_8,867345611.6397015,2717400000,2544000
318,builder_19,proposer_4,963670399.2856886,2895800000,1195100
319,builder_19,proposer_18,1066482863.1346312,2526800000,2377400
320,builder_19,proposer_18,1156364851.2277207,2513500000,2242100
321,builder_19,proposer_5,1295178162.7885041,2671100000,4112700
322,builder_19,proposer_14,1451379631.8593519,2871700000,1055700
323,builder_19,proposer_6,1565758218.1232889,2582300000,2144600
324,builder_19,proposer_1,58753434.601287246,118284000,1570240
325,builder_19,proposer_14,65358147.88077836,232252000,20123300
326,builder_19,proposer_4,71388907.74767214,307972000,14536240
327,builder_19,proposer_9,78690932.67248781,371450000,21090550
328,builder_19,proposer_4,87550790.33103496,702300000,6712330
329,builder_19,proposer_9,97896297.65432028,782800000,10686630
330,builder_19,proposer_16,106131306.69501029,802600000,6142090
331,builder_19,proposer_3,116184161.2112795,1074900000,6550690
