id  ,gas_fee  ,mev_potential ,creator_id ,created_at ,included_at ,target_tx
117 ,  310001 ,            0 ,user_16    ,         1 ,            ,       12
118 ,  310001 ,            0 ,user_17    ,         1 ,            ,       12
122 ,  310001 ,            0 ,user_21    ,         1 ,            ,       12
124 ,  310001 ,            0 ,user_23    ,         1 ,            ,       12
 23 ,  309999 ,            0 ,user_1     ,         0 ,            ,       12
 30 ,  309999 ,            0 ,user_11    ,         0 ,            ,       12
 31 ,  309999 ,            0 ,user_12    ,         0 ,            ,       12
 35 ,  309999 ,            0 ,user_13    ,         0 ,            ,       12
 36 ,  309999 ,            0 ,user_14    ,         0 ,            ,       12
 40 ,  309999 ,            0 ,user_18    ,         0 ,            ,       12
 42 ,  309999 ,            0 ,user_18    ,         0 ,            ,       12
 43 ,  309999 ,            0 ,user_18    ,         0 ,            ,       12
 44 ,  309999 ,            0 ,user_18    ,         0 ,            ,       12
101 ,  309999 ,            0 ,user_1     ,         1 ,            ,       12
103 ,  309999 ,            0 ,user_4     ,         1 ,            ,       12
104 ,  309999 ,            0 ,user_6     ,         1 ,            ,       12
112 ,  309999 ,            0 ,user_12    ,         1 ,            ,       12
115 ,  309999 ,            0 ,user_12    ,         1 ,            ,       12
116 ,  309999 ,            0 ,user_14    ,         1 ,            ,       12
119 ,  309999 ,            0 ,user_18    ,         1 ,            ,       12
120 ,  309999 ,            0 ,user_19    ,         1 ,            ,       12
121 ,  309999 ,            0 ,user_21    ,         1 ,            ,       12
123 ,  309999 ,            0 ,user_22    ,         1 ,            ,       12
 13 ,43000000 ,            0 ,user_42    ,         0 ,            ,         
 22 ,30000000 ,            0 ,user_49    ,         0 ,            ,         
286 ,27000000 ,       283000 ,user_28    ,         3 ,            ,         
390 ,26999999 ,            0 ,builder_5  ,         3 ,            ,      286
  6 ,19000000 ,            0 ,user_31    ,         0 ,            ,         
 21 ,19000000 ,            0 ,user_48    ,         0 ,            ,         
 99 ,19000000 ,            0 ,user_48    ,         1 ,            ,         
391 ,  120001 ,            0 ,builder_5  ,         3 ,            ,      281
281 ,  120000 ,     17700000 ,user_25    ,         3 ,            ,         
  4 , 5200000 ,            0 ,user_30    ,         0 ,            ,         
 84 , 5200000 ,            0 ,user_31    ,         1 ,            ,         
175 , 5000000 ,        56200 ,user_25    ,         2 ,            ,         
392 , 4999999 ,            0 ,builder_5  ,         3 ,            ,      175
 98 , 5000000 ,            0 ,user_48    ,         1 ,            ,         
282 , 5000000 ,            0 ,user_25    ,         3 ,            ,         
178 , 4500000 ,            0 ,user_31    ,         2 ,            ,         
289 , 4500000 ,            0 ,user_29    ,         3 ,            ,         
180 , 4200000 ,            0 ,user_34    ,         2 ,            ,         
298 , 4200000 ,            0 ,user_41    ,         3 ,            ,         
293 , 2600000 ,            0 ,user_37    ,         3 ,            ,         
294 , 2400000 ,            0 ,user_39    ,         3 ,            ,         
 82 , 2300000 ,            0 ,user_28    ,         1 ,            ,         
393 , 2000001 ,            0 ,builder_5  ,         3 ,            ,       11
 11 , 2000000 ,       285000 ,user_39    ,         0 ,            ,         
  3 , 2100000 ,            0 ,user_29    ,         0 ,            ,         
394 , 2000001 ,            0 ,builder_5  ,         3 ,            ,      303
303 , 2000000 ,        30200 ,user_47    ,         3 ,            ,         
 92 , 2000000 ,            0 ,user_42    ,         1 ,            ,         
182 , 2000000 ,            0 ,user_34    ,         2 ,            ,         
191 , 2000000 ,            0 ,user_43    ,         2 ,            ,         
100 , 1900000 ,            0 ,user_49    ,         1 ,            ,         
  1 , 1800000 ,            0 ,user_26    ,         0 ,            ,         
 20 , 1800000 ,            0 ,user_47    ,         0 ,            ,         
 79 , 1700000 ,            0 ,user_25    ,         1 ,            ,         
395 , 1100001 ,            0 ,builder_5  ,         3 ,            ,      174
174 , 1100000 ,       594000 ,user_25    ,         2 ,            ,         
304 , 1600000 ,        43600 ,user_47    ,         3 ,            ,         
396 , 1599999 ,            0 ,builder_5  ,         3 ,            ,      304
397 , 1400001 ,            0 ,builder_5  ,         3 ,            ,        9
  9 , 1400000 ,       161000 ,user_36    ,         0 ,            ,         
 14 , 1500000 ,            0 ,user_45    ,         0 ,            ,         
285 , 1500000 ,            0 ,user_27    ,         3 ,            ,         
 89 , 1300000 ,            0 ,user_36    ,         1 ,            ,         
179 , 1300000 ,            0 ,user_33    ,         2 ,            ,         
398 , 1200001 ,            0 ,builder_5  ,         3 ,            ,      284
284 , 1200000 ,        30200 ,user_26    ,         3 ,            ,         
203 , 1100001 ,            0 ,user_12    ,         2 ,            ,      174
207 , 1100001 ,            0 ,user_17    ,         2 ,            ,      174
208 , 1100001 ,            0 ,user_20    ,         2 ,            ,      174
210 , 1100001 ,            0 ,user_21    ,         2 ,            ,      174
 19 , 1100000 ,            0 ,user_46    ,         0 ,            ,         
197 , 1099999 ,            0 ,user_0     ,         2 ,            ,      174
198 , 1099999 ,            0 ,user_1     ,         2 ,            ,      174
199 , 1099999 ,            0 ,user_2     ,         2 ,            ,      174
200 , 1099999 ,            0 ,user_4     ,         2 ,            ,      174
204 , 1099999 ,            0 ,user_13    ,         2 ,            ,      174
205 , 1099999 ,            0 ,user_13    ,         2 ,            ,      174
206 , 1099999 ,            0 ,user_15    ,         2 ,            ,      174
209 , 1099999 ,            0 ,user_20    ,         2 ,            ,      174
211 , 1099999 ,            0 ,user_22    ,         2 ,            ,      174
212 , 1099999 ,            0 ,user_22    ,         2 ,            ,      174
213 , 1099999 ,            0 ,user_24    ,         2 ,            ,      174
399 ,   85001 ,            0 ,builder_5  ,         3 ,            ,      290
290 ,   85000 ,       959000 ,user_33    ,         3 ,            ,         
176 , 1000000 ,            0 ,user_27    ,         2 ,            ,         
  5 ,  970000 ,            0 ,user_31    ,         0 ,            ,         
 12 ,  310000 ,       350000 ,user_41    ,         0 ,            ,         
400 ,  309999 ,            0 ,builder_5  ,         3 ,            ,       12
 18 ,  660000 ,            0 ,user_46    ,         0 ,            ,         
300 ,  660000 ,            0 ,user_43    ,         3 ,            ,         
195 ,  530000 ,            0 ,user_48    ,         2 ,            ,         
 91 ,  460000 ,            0 ,user_41    ,         1 ,            ,         
 95 ,  420000 ,            0 ,user_45    ,         1 ,            ,         
 94 ,  370000 ,            0 ,user_44    ,         1 ,            ,         
189 ,  370000 ,            0 ,user_41    ,         2 ,            ,         
305 ,  310000 ,        18600 ,user_48    ,         3 ,            ,         
401 ,  309999 ,            0 ,builder_5  ,         3 ,            ,      305
 83 ,  240000 ,        75000 ,user_30    ,         1 ,            ,         
402 ,  239999 ,            0 ,builder_5  ,         3 ,            ,       83
 24 ,  310001 ,            0 ,user_2     ,         0 ,            ,       12
 25 ,  310001 ,            0 ,user_3     ,         0 ,            ,       12
 26 ,  310001 ,            0 ,user_4     ,         0 ,            ,       12
 27 ,  310001 ,            0 ,user_6     ,         0 ,            ,       12
 28 ,  310001 ,            0 ,user_7     ,         0 ,            ,       12
 32 ,  310001 ,            0 ,user_13    ,         0 ,            ,       12
 33 ,  310001 ,            0 ,user_13    ,         0 ,            ,       12
 34 ,  310001 ,            0 ,user_13    ,         0 ,            ,       12
 37 ,  310001 ,            0 ,user_16    ,         0 ,            ,       12
 38 ,  310001 ,            0 ,user_17    ,         0 ,            ,       12
 39 ,  310001 ,            0 ,user_17    ,         0 ,            ,       12
 41 ,  310001 ,            0 ,user_18    ,         0 ,            ,       12
 45 ,  310001 ,            0 ,user_21    ,         0 ,            ,       12
 46 ,  310001 ,            0 ,user_23    ,         0 ,            ,       12
 47 ,  310001 ,            0 ,user_24    ,         0 ,            ,       12
102 ,  310001 ,            0 ,user_2     ,         1 ,            ,       12
105 ,  310001 ,            0 ,user_7     ,         1 ,            ,       12
113 ,  310001 ,            0 ,user_12    ,         1 ,            ,       12
114 ,  310001 ,            0 ,user_12    ,         1 ,            ,       12
117 ,  310001 ,            0 ,user_16    ,         1 ,            ,       12
118 ,  310001 ,            0 ,user_17    ,         1 ,            ,       12
 13 ,43000000 ,            0 ,user_42    ,         0 ,            ,         
 22 ,30000000 ,            0 ,user_49    ,         0 ,            ,         
557 ,27000001 ,            0 ,builder_5  ,         4 ,            ,      286
286 ,27000000 ,       283000 ,user_28    ,         3 ,            ,         
  6 ,19000000 ,            0 ,user_31    ,         0 ,            ,         
 21 ,19000000 ,            0 ,user_48    ,         0 ,            ,         
 99 ,19000000 ,            0 ,user_48    ,         1 ,            ,         
464 ,19000000 ,            0 ,user_43    ,         4 ,            ,         
558 ,  120001 ,            0 ,builder_5  ,         4 ,            ,      281
281 ,  120000 ,     17700000 ,user_25    ,         3 ,            ,         
459 , 6100000 ,            0 ,user_38    ,         4 ,            ,         
  4 , 5200000 ,            0 ,user_30    ,         0 ,            ,         
 84 , 5200000 ,            0 ,user_31    ,         1 ,            ,         
559 , 5000001 ,            0 ,builder_5  ,         4 ,            ,      175
175 , 5000000 ,        56200 ,user_25    ,         2 ,            ,         
471 , 5000000 ,        49100 ,user_49    ,         4 ,            ,         
560 , 4999999 ,            0 ,builder_5  ,         4 ,            ,      471
 98 , 5000000 ,            0 ,user_48    ,         1 ,            ,         
282 , 5000000 ,            0 ,user_25    ,         3 ,            ,         
178 , 4500000 ,            0 ,user_31    ,         2 ,            ,         
289 , 4500000 ,            0 ,user_29    ,         3 ,            ,         
180 , 4200000 ,            0 ,user_34    ,         2 ,            ,         
298 , 4200000 ,            0 ,user_41    ,         3 ,            ,         
293 , 2600000 ,            0 ,user_37    ,         3 ,            ,         
445 , 2500000 ,            0 ,user_26    ,         4 ,            ,         
294 , 2400000 ,            0 ,user_39    ,         3 ,            ,         
 82 , 2300000 ,            0 ,user_28    ,         1 ,            ,         
 11 , 2000000 ,       285000 ,user_39    ,         0 ,            ,         
561 , 1999999 ,            0 ,builder_5  ,         4 ,            ,       11
  3 , 2100000 ,            0 ,user_29    ,         0 ,            ,         
450 , 2100000 ,            0 ,user_29    ,         4 ,            ,         
462 , 2100000 ,            0 ,user_42    ,         4 ,            ,         
303 , 2000000 ,        30200 ,user_47    ,         3 ,            ,         
562 , 1999999 ,            0 ,builder_5  ,         4 ,            ,      303
 92 , 2000000 ,            0 ,user_42    ,         1 ,            ,         
182 , 2000000 ,            0 ,user_34    ,         2 ,            ,         
191 , 2000000 ,            0 ,user_43    ,         2 ,            ,         
100 , 1900000 ,            0 ,user_49    ,         1 ,            ,         
468 , 1900000 ,            0 ,user_48    ,         4 ,            ,         
  1 , 1800000 ,            0 ,user_26    ,         0 ,            ,         
 20 , 1800000 ,            0 ,user_47    ,         0 ,            ,         
 79 , 1700000 ,            0 ,user_25    ,         1 ,            ,         
563 , 1100001 ,            0 ,builder_5  ,         4 ,            ,      174
174 , 1100000 ,       594000 ,user_25    ,         2 ,            ,         
564 , 1600001 ,            0 ,builder_5  ,         4 ,            ,      304
304 , 1600000 ,        43600 ,user_47    ,         3 ,            ,         
451 , 1600000 ,            0 ,user_30    ,         4 ,            ,         
  9 , 1400000 ,       161000 ,user_36    ,         0 ,            ,         
565 , 1399999 ,            0 ,builder_5  ,         4 ,            ,        9
 14 , 1500000 ,            0 ,user_45    ,         0 ,            ,         
285 , 1500000 ,            0 ,user_27    ,         3 ,            ,         
453 , 1500000 ,            0 ,user_31    ,         4 ,            ,         
473 , 1500000 ,            0 ,user_49    ,         4 ,            ,         
 89 , 1300000 ,            0 ,user_36    ,         1 ,            ,         
179 , 1300000 ,            0 ,user_33    ,         2 ,            ,         
566 , 1200001 ,            0 ,builder_5  ,         4 ,            ,      284
284 , 1200000 ,        30200 ,user_26    ,         3 ,            ,         
466 , 1200000 ,            0 ,user_46    ,         4 ,            ,         
203 , 1100001 ,            0 ,user_12    ,         2 ,            ,      174
207 , 1100001 ,            0 ,user_17    ,         2 ,            ,      174
208 , 1100001 ,            0 ,user_20    ,         2 ,            ,      174
210 , 1100001 ,            0 ,user_21    ,         2 ,            ,      174
 19 , 1100000 ,            0 ,user_46    ,         0 ,            ,         
197 , 1099999 ,            0 ,user_0     ,         2 ,            ,      174
198 , 1099999 ,            0 ,user_1     ,         2 ,            ,      174
199 , 1099999 ,            0 ,user_2     ,         2 ,            ,      174
200 , 1099999 ,            0 ,user_4     ,         2 ,            ,      174
204 , 1099999 ,            0 ,user_13    ,         2 ,            ,      174
205 , 1099999 ,            0 ,user_13    ,         2 ,            ,      174
206 , 1099999 ,            0 ,user_15    ,         2 ,            ,      174
209 , 1099999 ,            0 ,user_20    ,         2 ,            ,      174
211 , 1099999 ,            0 ,user_22    ,         2 ,            ,      174
212 , 1099999 ,            0 ,user_22    ,         2 ,            ,      174
213 , 1099999 ,            0 ,user_24    ,         2 ,            ,      174
567 ,   85001 ,            0 ,builder_5  ,         4 ,            ,      290
290 ,   85000 ,       959000 ,user_33    ,         3 ,            ,         
176 , 1000000 ,            0 ,user_27    ,         2 ,            ,         
455 , 1000000 ,            0 ,user_33    ,         4 ,            ,         
  5 ,  970000 ,            0 ,user_31    ,         0 ,            ,         
472 ,  970000 ,            0 ,user_49    ,         4 ,            ,         
456 ,  670000 ,            0 ,user_34    ,         4 ,            ,         
568 ,  310001 ,            0 ,builder_5  ,         4 ,            ,       12
 12 ,  310000 ,       350000 ,user_41    ,         0 ,            ,         
 18 ,  660000 ,            0 ,user_46    ,         0 ,            ,         
300 ,  660000 ,            0 ,user_43    ,         3 ,            ,         
195 ,  530000 ,            0 ,user_48    ,         2 ,            ,         
444 ,  530000 ,            0 ,user_25    ,         4 ,            ,         
452 ,  530000 ,            0 ,user_31    ,         4 ,            ,         
463 ,  530000 ,            0 ,user_43    ,         4 ,            ,         
469 ,  470000 ,            0 ,user_48    ,         4 ,            ,         
 91 ,  460000 ,            0 ,user_41    ,         1 ,            ,         
 95 ,  420000 ,            0 ,user_45    ,         1 ,            ,         
461 ,  420000 ,            0 ,user_41    ,         4 ,            ,         
 94 ,  370000 ,            0 ,user_44    ,         1 ,            ,         
189 ,  370000 ,            0 ,user_41    ,         2 ,            ,         
457 ,  350000 ,            0 ,user_36    ,         4 ,            ,         
569 ,  310001 ,            0 ,builder_5  ,         4 ,            ,      305
305 ,  310000 ,        18600 ,user_48    ,         3 ,            ,         
570 ,  240001 ,            0 ,builder_5  ,         4 ,            ,       83
 83 ,  240000 ,        75000 ,user_30    ,         1 ,            ,         
